Path,Average,std,std_error,Num,平均(標準偏差)
./Path F,0.9160788482855514,0.26174501719123966,0.058527965121146296,53,0.92±0.26
./Path A,0.9159105795440148,0.4510144694796414,0.10084990125924824,33,0.92±0.45
./Path B,1.0380986421636627,0.6208169840824128,0.138818897799468,42,1.04±0.62
./Path C,1.447597314270081,1.2984162036965523,0.29033468945527047,35,1.45±1.3
./Path D,1.2534214571811066,0.42466973628176763,0.09495903983129411,28,1.25±0.42
./Path E,2.6673830562706113,0.8945625891331175,0.20003027594298653,39,2.67±0.89
./Path G,0.3029175459251884,0.11272466387275978,0.025206001116030555,51,0.3±0.11
./Path H,0.622840958903444,0.2031310639607229,0.0454214867358034,40,0.62±0.2
./Path I,0.3021421530001219,0.1428227931175142,0.03193614741471509,40,0.3±0.14
