Path,Average,std,std_error,Num,平均(標準偏差)
./Path A,1.5273338248741752,1.020131733854875,0.2281083902904224,33,1.53±1.02
./Path B,2.9005232221592783,0.6462516180366565,0.1445062548499193,42,2.9±0.65
./Path C,1.816083932666773,1.1515037939076378,0.2574840759526386,35,1.82±1.15
./Path D,1.9493674861202812,0.5958896711931992,0.13324498118779918,28,1.95±0.6
./Path E,4.382023578753795,1.7848342630732044,0.39910107408024276,39,4.38±1.78
./Path F,2.3211835926275444,1.0522839791129317,0.2352978508930484,53,2.32±1.05
./Path G,1.14862989426737,1.1668008069985785,0.26090459206504335,51,1.15±1.17
./Path H,1.3579143396482236,0.9418842798383058,0.21061172766568864,40,1.36±0.94
./Path I,0.5268996588716809,0.31892869478721086,0.07131462415194863,40,0.53±0.32
