Path,Average,std,std_error,Num,平均(標準偏差)
./Path A,1.2082932155673043,0.8989211421423995,0.2010048780242156,32,1.21±0.9
./Path B,1.1384079762853272,0.6410318461182318,0.1433390783662551,41,1.14±0.64
./Path C,1.5868189976515765,1.1238107264739816,0.2512917178239245,34,1.59±1.12
./Path D,1.6296826337268442,1.5751648462126884,0.35221756718995734,27,1.63±1.58
./Path E,3.2949024182240576,1.347203491702032,0.3012438586970817,38,3.29±1.35
./Path F,1.5915472702903,1.2599569620594795,0.28173494158891194,52,1.59±1.26
./Path G,1.2166428208835416,1.1070186871293386,0.24753690367837725,50,1.22±1.11
./Path H,1.4161799293806383,0.958391542088816,0.21430286371714433,39,1.42±0.96
./Path I,0.885430223687561,0.7830778959261259,0.1751015406968323,39,0.89±0.78
