Path,Average,std,std_error,Num,平均(標準偏差)
./Path A,1.5548788437955627,1.1137503320580928,0.24904214524448587,33,1.55±1.11
./Path B,1.2269429313528137,0.7302735867311045,0.1632941382103338,42,1.23±0.73
./Path C,1.6241178286493134,1.2146769581504964,0.2716100249127177,35,1.62±1.21
./Path D,1.4782209915946853,1.5376939507137137,0.3438388202386075,28,1.48±1.54
./Path E,3.2425989004150915,1.5255171211004337,0.3411159983620348,39,3.24±1.53
./Path F,1.3363574961923346,0.9134383474683305,0.20425102381942598,53,1.34±0.91
./Path G,1.260805894815265,0.8579470281681224,0.19184278760778484,51,1.26±0.86
./Path H,1.0552770112810705,0.7527166655821681,0.16831256320387042,40,1.06±0.75
./Path I,1.2137588157638908,1.120241736695288,0.2504936674483084,39,1.21±1.12
