Path,Average,std,std_error,Num,平均(標準偏差)
./Path A,0.7844233178030995,0.590478961472249,0.1320351097135428,32,0.78±0.59
./Path B,0.6334402082689633,0.1837006042552391,0.04107670386225017,41,0.63±0.18
./Path C,1.3345325317134844,1.19916503528047,0.26814145351280644,33,1.33±1.2
./Path D,1.028379172126169,0.7003919486411888,0.15661240080552397,23,1.03±0.7
./Path E,1.7326328138759315,0.7833410010659614,0.1751603727946225,37,1.73±0.78
./Path F,0.912509895682127,0.26396987589678306,0.05902545865173901,52,0.91±0.26
./Path G,0.6847448813886144,0.2425433495868028,0.054234341716658654,48,0.68±0.24
./Path H,0.4920446050930355,0.11537935106053664,0.025799607217117236,39,0.49±0.12
./Path I,0.2506050756376318,0.1353323791603268,0.030261239935926665,36,0.25±0.14
