Path,Average,std,std_error,Num,平均(標準偏差)
./Path A,2.3449095982670674,1.2514608614559495,0.27983515573959494,33,2.34±1.25
./Path B,2.3991215300162554,1.9375221135753542,0.433243115386356,42,2.4±1.94
./Path C,2.7837847614183184,1.0242703845517063,0.22903382071974657,35,2.78±1.02
./Path D,4.190045865615134,1.379596105213102,0.3084870672750448,28,4.19±1.38
./Path E,4.377403887203455,2.08654365613453,0.4665653453137755,39,4.38±2.09
./Path F,2.2146046362646157,0.7438257606100747,0.16632449641396124,52,2.21±0.74
./Path G,3.1015385034956986,1.9080430446920376,0.4266513951927065,51,3.1±1.91
./Path H,1.8936420029573076,0.9379529653845755,0.20973265902974178,40,1.89±0.94
./Path I,2.5779975658948158,1.9725340892940273,0.4410720311597085,40,2.58±1.97
